term,reading,pitch_accent,definition,lesson_id,句型,詞性,"動詞
分類","動詞
辭書形","辭書形
重音",,,,,,,,,
土曜日,どようび,2,星期六,3,03-1,名詞,-,-,-,,,,,,,,,
日曜日,にちようび,3,星期天,3,03-1,名詞,-,-,-,,,,,,,,,
明日,あした,3,明天,3,03-1,名詞,-,-,-,,,,,,,,,
昨日,きのう,2,昨天,3,03-1,名詞,-,-,-,,,,,,,,,
今週,こんしゅう,0,這週,3,03-1,名詞,-,-,-,,,,,,,,,
来週,らいしゅう,0,下週,3,03-1,名詞,-,-,-,,,,,,,,,
先週,せんしゅう,0,上週,3,03-1,名詞,-,-,-,,,,,,,,,
朝,あさ,1,早上,3,03-1,名詞,-,-,-,,,,,,,,,
昼,ひる,2,中午；白天,3,03-1,名詞,-,-,-,,,,,,,,,
夕方,ゆうがた,0,傍晚,3,03-1,名詞,-,-,-,,,,,,,,,
夜,よる,1,晚上,3,03-1,名詞,-,-,-,,,,,,,,,
午前,ごぜん,1,上午；上半天,3,03-1,名詞,-,-,-,,,,,,,,,
午後,ごご,1,下午；下半天,3,03-1,名詞,-,-,-,,,,,,,,,
起きます,おきます,3,起床,3,03-1,動詞,2,起きる,2,,,,,,,,,
～ごろ,-,-,大約(～時間)；(～時間)左右,3,03-1,後綴,-,-,-,,,,,,,,,
そして,-,0,接著；然後,3,03-1,連接詞,-,-,-,,,,,,,,,
寝ます,ねます,2,睡覺,3,03-1,動詞,2,寝る,0,,,,,,,,,
授業,じゅぎょう,1,上課；授課；課程,3,03-1,名詞,-,-,-,,,,,,,,,
始まります,はじまります,5,開始,3,03-1,動詞,1,始まる,0,,,,,,,,,
～時間目,～じかんめ,-,第~堂課,3,03-1,詞組,-,-,-,,,,,,,,,
終わります,おわります,4,結束,3,03-1,動詞,1,終わる,0,,,,,,,,,
昼休み,ひるやすみ,3,午休,3,03-1,名詞,-,-,-,,,,,,,,,
映画,えいが,1,電影,3,03-1,名詞,-,-,-,,,,,,,,,
そうですか（↓）,-,1,這樣啊,3,03-1,句子,-,-,-,,,,,,,,,
そうですか（↑）,-,1,是那樣嗎,3,03-1,句子,-,-,-,,,,,,,,,
試験,しけん,1,考試；測驗,3,03-1,名詞,-,-,-,,,,,,,,,
仕事,しごと,0,工作,3,03-1,名詞,-,-,-,,,,,,,,,
アルバイト,-,3,打工,3,03-1,名詞,-,-,-,,,,,,,,,
毎朝,まいあさ,1,每天早上,3,03-1,名詞,-,-,-,,,,,,,,,
毎晩,まいばん,1,每天晚上,3,03-1,名詞,-,-,-,,,,,,,,,
晩,ばん,0,晚上,3,03-1,名詞,-,-,-,,,,,,,,,
食べます,たべます,3,吃,3,03-2,動詞,2,食べる,2,,,,,,,,,
ご飯,ごはん,1,飯；白飯,3,03-2,名詞,-,-,-,,,,,,,,,
お酒,おさけ,0,酒,3,03-2,名詞,-,-,-,,,,,,,,,
飲みます,のみます,3,喝,3,03-2,動詞,1,飲む,1,,,,,,,,,
手紙,てがみ,0,信；書信,3,03-2,名詞,-,-,-,,,,,,,,,
レポート,-,2,報告,3,03-2,名詞,-,-,-,,,,,,,,,
書きます,かきます,3,寫,3,03-2,動詞,1,書く,1,,,,,,,,,
読みます,よみます,3,讀；閱讀；看；唸,3,03-2,動詞,1,読む,1,,,,,,,,,
歌,うた,2,歌,3,03-2,名詞,-,-,-,,,,,,,,,
音楽,おんがく,1,音樂,3,03-2,名詞,-,-,-,,,,,,,,,
聞きます,ききます,3,聽；問,3,03-2,動詞,1,聞く,0,,,,,,,,,
ニュース,-,1,新聞,3,03-2,名詞,-,-,-,,,,,,,,,
見ます,みます,2,看,3,03-2,動詞,2,見る,1,,,,,,,,,
勉強します,べんきょうします,6,讀書；學習,3,03-2,動詞,3,勉強する,0,,,,,,,,,
買います,かいます,3,買,3,03-2,動詞,1,買う,0,,,,,,,,,
昼ご飯,ひるごはん,3,午餐,3,03-2,名詞,-,-,-,,,,,,,,,
晩ご飯,ばんごはん,3,晚餐,3,03-2,名詞,-,-,-,,,,,,,,,
食事します,しょくじします,5,吃飯,3,03-2,動詞,3,食事する,0,,,,,,,,,
料理,りょうり,1,料理,3,03-2,名詞,-,-,-,,,,,,,,,
作ります,つくります,4,做；製作；建立；創造,3,03-2,動詞,1,作る,2,,,,,,,,,
テニス,-,1,網球,3,03-2,名詞,-,-,-,,,,,,,,,
サッカー,-,1,足球,3,03-2,名詞,-,-,-,,,,,,,,,
スポーツ,-,2,運動,3,03-2,名詞,-,-,-,,,,,,,,,
します,-,2,做；配戴,3,03-2,動詞,3,する,0,,,,,,,,,
買い物します,かいものします,6,購物；採買,3,03-2,動詞,3,買い物する,0,,,,,,,,,
散歩します,さんぽします,5,散步,3,03-2,動詞,3,散歩する,0,,,,,,,,,
話します,はなします,4,說；聊天,3,03-2,動詞,1,話す,2,,,,,,,,,
食べ物,たべもの,2,食物,3,03-2,名詞,-,-,-,,,,,,,,,
肉,にく,2,肉,3,03-2,名詞,-,-,-,,,,,,,,,
豚肉,ぶたにく,0,豬肉,3,03-2,名詞,-,-,-,,,,,,,,,
牛肉,ぎゅうにく,0,牛肉,3,03-2,名詞,-,-,-,,,,,,,,,
とり肉,とりにく,0,雞肉,3,03-2,名詞,-,-,-,,,,,,,,,
魚,さかな,0,魚；魚肉,3,03-2,名詞,-,-,-,,,,,,,,,
野菜,やさい,0,蔬菜,3,03-2,名詞,-,-,-,,,,,,,,,
卵,たまご,2,蛋,3,03-2,名詞,-,-,-,,,,,,,,,
果物,くだもの,2,水果,3,03-2,名詞,-,-,-,,,,,,,,,
りんご,-,0,蘋果,3,03-2,名詞,-,-,-,,,,,,,,,
バナナ,-,1,香蕉,3,03-2,名詞,-,-,-,,,,,,,,,
飲み物,のみもの,2,飲料；喝的,3,03-2,名詞,-,-,-,,,,,,,,,
水,みず,0,水；冰水,3,03-2,名詞,-,-,-,,,,,,,,,
ビール,-,1,啤酒,3,03-2,名詞,-,-,-,,,,,,,,,
ときどき,-,0,有時,3,03-2,副詞,-,-,-,,,,,,,,,
毎週,まいしゅう,0,每週,3,03-2,名詞,-,-,-,,,,,,,,,
週末,しゅうまつ,0,週末,3,03-2,名詞,-,-,-,,,,,,,,,
スーパー,-,1,超市,3,03-4,名詞,-,-,-,,,,,,,,,
デパート,-,2,百貨公司,3,03-4,名詞,-,-,-,,,,,,,,,
本屋,ほんや,1,書店,3,03-4,名詞,-,-,-,,,,,,,,,
メール,-,0,電子郵件,3,03-4,名詞,-,-,-,,,,,,,,,
ピンポン,-,1,乒乓球；桌球,3,03-4,名詞,-,-,-,,,,,,,,,
映画館,えいがかん,3,電影院,3,03-4,名詞,-,-,-,,,,,,,,,
スピーチ,-,2,演講；致詞,3,03-5,名詞,-,-,-,,,,,,,,,
あさって,-,2,後天,3,03-5,名詞,-,-,-,,,,,,,,,
作文,さくぶん,0,作文,3,03-5,名詞,-,-,-,,,,,,,,,
今晩,こんばん,1,今晚,3,03-5,名詞,-,-,-,,,,,,,,,
夕べ,ゆうべ,3,昨晚,3,03-5,名詞,-,-,-,,,,,,,,,
おととい,-,3,前天,3,03-5,名詞,-,-,-,,,,,,,,,
今朝,けさ,1,今早,3,03-5,名詞,-,-,-,,,,,,,,,
朝ご飯,あさごはん,3,早餐,3,03-5,名詞,-,-,-,,,,,,,,,
掲示板,けいじばん,0,佈告欄,3,03-5,名詞,-,-,-,,,,,,,,,
パーティー,-,1,派對；聚會,3,03-5,名詞,-,-,-,,,,,,,,,
文化,ぶんか,1,文化,3,03-5,名詞,-,-,-,,,,,,,,,
友達,ともだち,0,朋友,3,03-5,名詞,-,-,-,,,,,,,,,
家,うち,0,家,3,03-5,名詞,-,-,-,,,,,,,,,
一日,いちにち,4,一天,3,03-5,名詞,-,-,-,,,,,,,,,
バスケットボール,-,6,籃球,3,03-5,名詞,-,-,-,,,,,,,,,
質問,しつもん,0,問題；疑問,3,03-5,名詞,-,-,-,,,,,,,,,
医者,いしゃ,0,醫生,3,03-c,名詞,-,-,-,,,,,,,,,
バドミントン,-,3,羽毛球,3,03-c,名詞,-,-,-,,,,,,,,,
先々週,せんせんしゅう,0,上上週,3,03-g,名詞,-,-,-,,,,,,,,,
再来週,さらいしゅう,0,下下週,3,03-g,名詞,-,-,-,,,,,,,,,
時間,じかん,0,時間,3,03-g,名詞,-,-,-,,,,,,,,,
平仮名,ひらがな,3,平假名,3,03-g,名詞,-,-,-,,,,,,,,,
場所,ばしょ,0,場所；地點；地方,3,03-g,名詞,-,-,-,,,,,,,,,
相槌,あいづち,0,隨聲附和,3,03-g,名詞,-,-,-,,,,,,,,,
ええ,-,1,嗯；是；對(表同意或應允),3,03-g,感嘆詞,-,-,-,,,,,,,,,
うん,-,1,嗯；是；對(表同意或應允),3,03-g,感嘆詞,-,-,-,,,,,,,,,
フランス,-,0,法國,3,03-g,名詞,-,-,-,,,,,,,,,
何月,なんがつ,1,幾月,4,04-0,名詞,-,-,-,,,,,,,,,
何日,なんにち,1,幾日,4,04-0,名詞,-,-,-,,,,,,,,,
～月,～がつ,-,～月,4,04-0,量詞,-,-,-,,,,,,,,,
～日,～にち,-,～日；～號,4,04-0,量詞,-,-,-,,,,,,,,,
誕生日,たんじょうび,3,生日,4,04-0,名詞,-,-,-,,,,,,,,,
休み,やすみ,3,休息；休假日,4,04-1,名詞,-,-,-,,,,,,,,,
コンビニ,-,0,超商,4,04-1,名詞,-,-,-,,,,,,,,,
生協,せいきょう,0,合作社,4,04-1,名詞,-,-,-,,,,,,,,,
きれい,-,1,漂亮的；乾淨的,4,04-2,ナ形容詞,-,-,-,,,,,,,,,
丈夫,じょうぶ,0,堅固的；耐用的,4,04-2,ナ形容詞,-,-,-,,,,,,,,,
箱,はこ,0,箱子；盒子,4,04-2,名詞,-,-,-,,,,,,,,,
便利,べんり,1,方便的,4,04-2,ナ形容詞,-,-,-,,,,,,,,,
静か,しずか,1,安靜的,4,04-2,ナ形容詞,-,-,-,,,,,,,,,
暇,ひま,0,有空的,4,04-2,ナ形容詞,-,-,-,,,,,,,,,
店,みせ,2,店,4,04-2,名詞,-,-,-,,,,,,,,,
元気,げんき,1,有精神的；健康的,4,04-2,ナ形容詞,-,-,-,,,,,,,,,
親切,しんせつ,1,親切的,4,04-2,ナ形容詞,-,-,-,,,,,,,,,
汚い,きたない,3,髒的；(字)難看的,4,04-2,イ形容詞,-,-,-,,,,,,,,,
花,はな,2,花,4,04-2,名詞,-,-,-,,,,,,,,,
賑やか,にぎやか,2,熱鬧的,4,04-2,ナ形容詞,-,-,-,,,,,,,,,
好き,すき,2,喜歡的,4,04-4,ナ形容詞,-,-,-,,,,,,,,,
嫌い,きらい,0,討厭的,4,04-4,ナ形容詞,-,-,-,,,,,,,,,
アイスクリーム,-,5,冰淇淋,4,04-4,名詞,-,-,-,,,,,,,,,
おすし,-,2,壽司,4,04-4,名詞,-,-,-,,,,,,,,,
すき焼き,すきやき,0,壽喜燒,4,04-4,名詞,-,-,-,,,,,,,,,
天ぷら,てんぷら,0,天婦羅,4,04-4,名詞,-,-,-,,,,,,,,,
水泳,すいえい,0,游泳,4,04-4,名詞,-,-,-,,,,,,,,,
スキー,-,2,雙板滑雪,4,04-4,名詞,-,-,-,,,,,,,,,
動物,どうぶつ,0,動物,4,04-4,名詞,-,-,-,,,,,,,,,
ぞう,-,1,大象,4,04-4,名詞,-,-,-,,,,,,,,,
ねこ,-,1,貓,4,04-4,名詞,-,-,-,,,,,,,,,
犬,いぬ,2,狗,4,04-4,名詞,-,-,-,,,,,,,,,
うさぎ,-,0,兔子,4,04-4,名詞,-,-,-,,,,,,,,,
パンダ,-,1,貓熊,4,04-4,名詞,-,-,-,,,,,,,,,
コーラ,-,1,可樂,4,04-4,名詞,-,-,-,,,,,,,,,
テスト,-,1,考試；測驗,4,04-5,名詞,-,-,-,,,,,,,,,
～歳／～才,～さい,-,～歲,4,04-5,量詞,-,-,-,,,,,,,,,
昭和,しょうわ,0,昭和(年號),4,04-5,名詞,-,-,-,,,,,,,,,
行きます,いきます,3,去,4,04-6,動詞,1,行く,0,,,,,,,,,
来ます,きます,2,來,4,04-6,動詞,3,来る(くる),1,,,,,,,,,
帰ります,かえります,4,回,4,04-6,動詞,1,帰る,1,,,,,,,,,
日,ひ,1,日；日子,4,04-6,名詞,-,-,-,,,,,,,,,
写真,しゃしん,0,照片,4,04-6,名詞,-,-,-,,,,,,,,,
撮ります,とります,3,拍(照),4,04-6,動詞,1,撮る,1,,,,,,,,,
お土産,おみやげ,0,伴手禮,4,04-6,名詞,-,-,-,,,,,,,,,
